date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:18	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f1a48a3-247b%22	https://www.seanhalpin.design/robots.txt		(from )
11:13:18	25122/25122	---M-Z	200	added ('OK')	text/html	etag:W/%22601a96cb-6222%22	https://www.seanhalpin.design/	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/index.html	(from )
11:13:18	45028/45028	---M--	200	added ('OK')	font/woff2	etag:%22601a96c4-afe4%22	https://www.seanhalpin.design/images/fonts/biotif.woff2	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/images/fonts/biotif.woff2	(from https://www.seanhalpin.design/)
11:13:19	138812/138812	---M--	200	added ('OK')	font/woff2	etag:%22601a96c4-21e3c%22	https://www.seanhalpin.design/images/fonts/bogart.woff2	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/images/fonts/bogart.woff2	(from https://www.seanhalpin.design/)
11:13:19	122718/122718	---M-Z	200	added ('OK')	text/css	etag:W/%22601a96c4-1df5e%22	https://www.seanhalpin.design/css/main.css	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/css/main.css	(from https://www.seanhalpin.design/)
11:13:19	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	https://www.seanhalpin.design/feed.xml	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/feed.xml	(from https://www.seanhalpin.design/)
11:13:20	4390/4390	---M--	200	added ('OK')	image/png	etag:%22601a96c4-1126%22	https://www.seanhalpin.design/favicon-96x96.png	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/favicon-96x96.png	(from https://www.seanhalpin.design/)
11:13:20	990/990	---M--	200	added ('OK')	image/png	etag:%22601a96c4-3de%22	https://www.seanhalpin.design/favicon-32x32.png	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/favicon-32x32.png	(from https://www.seanhalpin.design/)
11:13:21	410/410	---M--	200	added ('OK')	image/png	etag:%22601a96c4-19a%22	https://www.seanhalpin.design/favicon-16x16.png	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/favicon-16x16.png	(from https://www.seanhalpin.design/)
11:13:22	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	https://www.seanhalpin.design/safari-pinned-tab.svg	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/safari-pinned-tab.svg	(from https://www.seanhalpin.design/)
11:13:22	27808/27808	---M--	200	added ('OK')	image/png	etag:%22601a96c4-6ca0%22	https://www.seanhalpin.design/images/meta.png	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/images/meta.png	(from https://www.seanhalpin.design/)
11:13:22	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Apr%202021%2016:13:22%20GMT	https://www.seanhalpin.design/about	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/about	(from https://www.seanhalpin.design/)
11:13:22	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Apr%202021%2016:13:22%20GMT	https://www.seanhalpin.design/wip	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/wip	(from https://www.seanhalpin.design/)
11:13:23	10614/10614	---M--	200	added ('OK')	image/png	etag:%22601a96c4-2976%22	https://www.seanhalpin.design/images/info/avatar.png	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/images/info/avatar.png	(from https://www.seanhalpin.design/)
11:13:23	29051/29051	---M-Z	200	added ('OK')	text/html	etag:W/%22601a96cb-717b%22	https://www.seanhalpin.design/about/	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/about/index.html	(from https://www.seanhalpin.design/)
11:13:23	37036/37036	---M-Z	200	added ('OK')	text/html	etag:W/%22601a96cb-90ac%22	https://www.seanhalpin.design/wip/	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/wip/index.html	(from https://www.seanhalpin.design/)
11:13:23	17179/17179	---M-Z	200	added ('OK')	application/javascript	etag:W/%22431b-dTYv3jMy117PNRjfvI1J8sfrPHE%22	https://cdn.jsdelivr.net/npm/animejs@3.0.1/lib/anime.min.js	G:/EPIC/My%20web%20sites/volv/cdn.jsdelivr.net/npm/animejs@3.0.1/lib/anime.min.js	(from https://www.seanhalpin.design/)
11:13:23	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	G:/EPIC/My%20web%20sites/volv/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://www.seanhalpin.design/)
11:13:23	35780/35780	---M-Z	200	added ('OK')	text/html	etag:W/%22601a96cb-8bc4%22	https://www.seanhalpin.design/work/help-scout/	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/work/help-scout/index.html	(from https://www.seanhalpin.design/)
11:13:24	7974/7974	---M-Z	200	added ('OK')	application/javascript	etag:W/%221f26-5++oac2ELCvsyDN92cxEXND6UAA%22	https://cdn.jsdelivr.net/npm/vanilla-lazyload@17.1.2/dist/lazyload.min.js	G:/EPIC/My%20web%20sites/volv/cdn.jsdelivr.net/npm/vanilla-lazyload@17.1.2/dist/lazyload.min.js	(from https://www.seanhalpin.design/)
11:13:24	31875/31875	---M-Z	200	added ('OK')	text/html	etag:W/%22601a96cb-7c83%22	https://www.seanhalpin.design/work/shape/	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/work/shape/index.html	(from https://www.seanhalpin.design/)
11:13:24	8573/8573	---M-Z	200	added ('OK')	application/javascript	etag:W/%22601a96c4-217d%22	https://www.seanhalpin.design/js/scripts.js	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/js/scripts.js	(from https://www.seanhalpin.design/)
11:13:24	30672/30672	---M-Z	200	added ('OK')	text/html	etag:W/%22601a96cb-77d0%22	https://www.seanhalpin.design/work/browso/	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/work/browso/index.html	(from https://www.seanhalpin.design/)
11:13:25	30969/30969	---M-Z	200	added ('OK')	text/html	etag:W/%22601a96cb-78f9%22	https://www.seanhalpin.design/work/custoji/	G:/EPIC/My%20web%20sites/volv/www.seanhalpin.design/work/custoji/index.html	(from https://www.seanhalpin.design/)
